 Sirius Chiron 8 Feb 2021 100 exposures
 Wavelength    Intensity
  5250.4200     0.999755
  5250.4400     1.000509
  5250.4600     1.003067
  5250.4800     1.000372
  5250.5000     0.996409
  5250.5200     0.997289
  5250.5400     0.999116
  5250.5600     0.996900
  5250.5800     0.995119
  5250.6000     0.999984
  5250.6200     1.001228
  5250.6400     1.000007
  5250.6600     1.001480
  5250.6800     1.000235
  5250.7000     0.998419
  5250.7200     0.999835
  5250.7400     1.000806
  5250.7600     0.997449
  5250.7800     0.995816
  5250.8000     0.991214
  5250.8200     0.993509
  5250.8400     0.993931
  5250.8600     0.990437
  5250.8800     0.992287
  5250.9000     0.996569
  5250.9200     0.995233
  5250.9400     0.991214
  5250.9600     0.994559
  5250.9800     0.996307
  5251.0000     0.993383
  5251.0200     0.987399
  5251.0400     0.980502
  5251.0600     0.980536
  5251.0800     0.976871
  5251.1000     0.969573
  5251.1200     0.962162
  5251.1400     0.962368
  5251.1600     0.957594
  5251.1800     0.950594
  5251.2000     0.945421
  5251.2200     0.944633
  5251.2400     0.941470
  5251.2600     0.938455
  5251.2800     0.939963
  5251.3000     0.938821
  5251.3200     0.937279
  5251.3400     0.939472
  5251.3600     0.942920
  5251.3800     0.941755
  5251.4000     0.941162
  5251.4200     0.944176
  5251.4400     0.944382
  5251.4600     0.947534
  5251.4800     0.957457
  5251.5000     0.959559
  5251.5200     0.965268
  5251.5400     0.970281
  5251.5600     0.977773
  5251.5800     0.982991
  5251.6000     0.987536
  5251.6200     0.993486
  5251.6400     0.992881
  5251.6600     0.994845
  5251.6800     0.994868
  5251.7000     0.995896
  5251.7200     0.994788
  5251.7400     0.998317
  5251.7600     0.998248
  5251.7800     0.993395
  5251.8000     0.992527
  5251.8200     0.996101
  5251.8400     0.994457
  5251.8600     0.996592
  5251.8800     0.995256
  5251.9000     0.994902
  5251.9200     0.995142
  5251.9400     0.995370
  5251.9600     0.997083
  5251.9800     0.994514
  5252.0000     0.992093
  5252.0200     0.991031
  5252.0400     0.991351
  5252.0600     0.992481
  5252.0800     0.993418
  5252.1000     0.993064
  5252.1200     0.993338
  5252.1400     0.994559
  5252.1600     0.994103
  5252.1800     0.992881
  5252.2000     0.993726
  5252.2200     0.994422
  5252.2400     0.991739
  5252.2600     0.988713
  5252.2800     0.991408
  5252.3000     0.995816
  5252.3200     0.995747
  5252.3400     0.996649
  5252.3600     1.000155
  5252.3800     1.001388
  5252.4000     1.000064
  5252.4200     1.000338
  5252.4400     1.001308
  5252.4600     0.999093
  5252.4800     0.999812
  5252.5000     0.999356
  5252.5200     0.999915
  5252.5400     0.997974
  5252.5600     0.997757
  5252.5800     0.998100
  5252.6000     0.995313
  5252.6200     0.995861
  5252.6400     0.995382
  5252.6600     0.996638
  5252.6800     0.994754
  5252.7000     0.993817
  5252.7200     0.997369
  5252.7400     1.001069
  5252.7600     0.999653
  5252.7800     0.997403
  5252.8000     0.995770
  5252.8200     0.992230
  5252.8400     0.992744
  5252.8600     0.992310
  5252.8800     0.995370
  5252.9000     0.997471
  5252.9200     0.996227
  5252.9400     0.996387
  5252.9600     0.996364
  5252.9800     0.997026
  5253.0000     0.997312
  5253.0200     0.993920
  5253.0400     0.998933
  5253.0600     0.999321
  5253.0800     0.996958
  5253.1000     0.996033
  5253.1200     0.997072
  5253.1400     0.997494
  5253.1600     0.995359
  5253.1800     0.996352
  5253.2000     0.995690
  5253.2200     0.997529
  5253.2400     0.995918
  5253.2600     0.996181
  5253.2800     0.997608
  5253.3000     0.997186
  5253.3200     0.994251
  5253.3400     0.994902
  5253.3600     0.993589
  5253.3800     0.995073
  5253.4000     0.992104
  5253.4200     0.994628
  5253.4400     0.989010
  5253.4600     0.986200
  5253.4800     0.985275
  5253.5000     0.984373
  5253.5200     0.977670
  5253.5400     0.974929
  5253.5600     0.972645
  5253.5800     0.971869
  5253.6000     0.968443
  5253.6200     0.968934
  5253.6400     0.968797
  5253.6600     0.968717
  5253.6800     0.965702
  5253.7000     0.963898
  5253.7200     0.964469
  5253.7400     0.964697
  5253.7600     0.968740
  5253.7800     0.968077
  5253.8000     0.966684
  5253.8200     0.968157
  5253.8400     0.972623
  5253.8600     0.973639
  5253.8800     0.978835
  5253.9000     0.979406
  5253.9200     0.980354
  5253.9400     0.981815
  5253.9600     0.987354
  5253.9800     0.990734
  5254.0000     0.987708
  5254.0200     0.990528
  5254.0400     0.994114
  5254.0600     0.995050
  5254.0800     0.995975
  5254.1000     0.994834
  5254.1200     0.994651
  5254.1400     0.990860
  5254.1600     0.996021
  5254.1800     0.995256
  5254.2000     0.998579
  5254.2200     0.997551
  5254.2400     0.998339
  5254.2600     0.999390
  5254.2800     0.993657
  5254.3000     0.992869
  5254.3200     0.993098
  5254.3400     0.993052
  5254.3600     0.992847
  5254.3800     0.992892
  5254.4000     0.992435
  5254.4200     0.989295
  5254.4400     0.991442
  5254.4600     0.990083
  5254.4800     0.986828
  5254.5000     0.987879
  5254.5200     0.987594
  5254.5400     0.990974
  5254.5600     0.985744
  5254.5800     0.988644
  5254.6000     0.989980
  5254.6200     0.989535
  5254.6400     0.987182
  5254.6600     0.987160
  5254.6800     0.985892
  5254.7000     0.982729
  5254.7200     0.975409
  5254.7400     0.965565
  5254.7600     0.956475
  5254.7800     0.947659
  5254.8000     0.939449
  5254.8200     0.933613
  5254.8400     0.927504
  5254.8600     0.921257
  5254.8800     0.915570
  5254.9000     0.914851
  5254.9200     0.913720
  5254.9400     0.910534
  5254.9600     0.910614
  5254.9800     0.910215
  5255.0000     0.905841
  5255.0200     0.902164
  5255.0400     0.907120
  5255.0600     0.908582
  5255.0800     0.905064
  5255.1000     0.907611
  5255.1200     0.916827
  5255.1400     0.920858
  5255.1600     0.924466
  5255.1800     0.933294
  5255.2000     0.935852
  5255.2200     0.947499
  5255.2400     0.957240
  5255.2600     0.965303
  5255.2800     0.975603
  5255.3000     0.985481
  5255.3200     0.987080
  5255.3400     0.994525
  5255.3600     0.992344
  5255.3800     0.999173
  5255.4000     0.994708
  5255.4200     0.994126
  5255.4400     0.995096
  5255.4600     0.995496
  5255.4800     0.994308
  5255.5000     0.995713
  5255.5200     0.996192
  5255.5400     0.999538
  5255.5600     0.994856
  5255.5800     0.999710
  5255.6000     0.995290
  5255.6200     0.998979
  5255.6400     0.995210
  5255.6600     0.991876
  5255.6800     0.999812
  5255.7000     0.996569
  5255.7200     0.995073
  5255.7400     0.991625
  5255.7600     0.994274
  5255.7800     0.993589
  5255.8000     0.993874
  5255.8200     0.991682
  5255.8400     0.992675
  5255.8600     0.989466
  5255.8800     0.990334
  5255.9000     0.995393
  5255.9200     0.992572
  5255.9400     0.993771
  5255.9600     0.993258
  5255.9800     0.994856
  5256.0000     0.993543
  5256.0200     0.992333
  5256.0400     0.991259
  5256.0600     0.998259
  5256.0800     1.001754
  5256.1000     1.000498
  5256.1200     1.001879
  5256.1400     0.998237
  5256.1600     1.000395
  5256.1800     0.998259
  5256.2000     1.001206
  5256.2200     0.997266
  5256.2400     1.000737
  5256.2600     1.000281
  5256.2800     1.001948
  5256.3000     1.001411
  5256.3200     1.000863
  5256.3400     0.996581
  5256.3600     0.996135
  5256.3800     0.997597
  5256.4000     0.999196
  5256.4200     0.995975
  5256.4400     0.998225
  5256.4600     0.995530
  5256.4800     0.994799
  5256.5000     0.997083
  5256.5200     0.992116
  5256.5400     0.997369
  5256.5600     0.997825
  5256.5800     0.996729
  5256.6000     0.995713
  5256.6200     0.997837
  5256.6400     0.997449
  5256.6600     0.994811
  5256.6800     0.996135
  5256.7000     0.993532
  5256.7200     0.995256
  5256.7400     0.989912
  5256.7600     0.986063
  5256.7800     0.985161
  5256.8000     0.983094
  5256.8200     0.977544
  5256.8400     0.974929
  5256.8600     0.973742
  5256.8800     0.975923
  5256.9000     0.968980
  5256.9200     0.965074
  5256.9400     0.965999
  5256.9600     0.961032
  5256.9800     0.957320
  5257.0000     0.954762
  5257.0200     0.954283
  5257.0400     0.955607
  5257.0600     0.952924
  5257.0800     0.947876
  5257.1000     0.950194
  5257.1200     0.947659
  5257.1400     0.948676
  5257.1600     0.947020
  5257.1800     0.944976
  5257.2000     0.946906
  5257.2200     0.949749
  5257.2400     0.949978
  5257.2600     0.954283
  5257.2800     0.959638
  5257.3000     0.964298
  5257.3200     0.967324
  5257.3400     0.971789
  5257.3600     0.973330
  5257.3800     0.975272
  5257.4000     0.978024
  5257.4200     0.981621
  5257.4400     0.984967
  5257.4600     0.987719
  5257.4800     0.990380
  5257.5000     0.992550
  5257.5200     0.992949
  5257.5400     0.995188
  5257.5600     0.996318
  5257.5800     0.996421
  5257.6000     0.996912
  5257.6200     0.995873
  5257.6400     0.994571
  5257.6600     0.994936
  5257.6800     0.993338
  5257.7000     0.994320
  5257.7200     0.993931
  5257.7400     0.993680
  5257.7600     0.991864
  5257.7800     0.988861
  5257.8000     0.988998
  5257.8200     0.987810
  5257.8400     0.987639
  5257.8600     0.987057
  5257.8800     0.986771
  5257.9000     0.986178
  5257.9200     0.984807
  5257.9400     0.982957
  5257.9600     0.983471
  5257.9800     0.984008
  5258.0000     0.981279
  5258.0200     0.983425
  5258.0400     0.987799
  5258.0600     0.987148
  5258.0800     0.985641
  5258.1000     0.984853
  5258.1200     0.983814
  5258.1400     0.983916
  5258.1600     0.987742
  5258.1800     0.987354
  5258.2000     0.986269
  5258.2200     0.987068
  5258.2400     0.988027
  5258.2600     0.990574
  5258.2800     0.989820
  5258.3000     0.987742
  5258.3200     0.988884
  5258.3400     0.989147
  5258.3600     0.987982
  5258.3800     0.987125
  5258.4000     0.988975
  5258.4200     0.987913
  5258.4400     0.987011
  5258.4600     0.988781
  5258.4800     0.989318
  5258.5000     0.988347
  5258.5200     0.989181
  5258.5400     0.989695
  5258.5600     0.991316
  5258.5800     0.990997
  5258.6000     0.989569
  5258.6200     0.990745
  5258.6400     0.989112
  5258.6600     0.989466
  5258.6800     0.990494
  5258.7000     0.990608
  5258.7200     0.991373
  5258.7400     0.993669
  5258.7600     0.993086
  5258.7800     0.995542
  5258.8000     0.996135
  5258.8200     0.994594
  5258.8400     0.994651
  5258.8600     0.994502
  5258.8800     0.997426
  5258.9000     0.996946
  5258.9200     0.993737
  5258.9400     0.994400
  5258.9600     0.993612
  5258.9800     0.994137
  5259.0000     0.995656
  5259.0200     0.995165
  5259.0400     1.000817
  5259.0600     0.999253
  5259.0800     1.001377
  5259.1000     1.001651
  5259.1200     1.001137
  5259.1400     0.996569
  5259.1600     0.996946
  5259.1800     0.995404
  5259.2000     0.996010
  5259.2200     0.997643
  5259.2400     0.994571
  5259.2600     0.994868
  5259.2800     0.995142
  5259.3000     0.994822
  5259.3200     0.992047
  5259.3400     0.993806
  5259.3600     0.993109
  5259.3800     0.993497
  5259.4000     0.994708
  5259.4200     0.994297
  5259.4400     0.998248
  5259.4600     0.997711
  5259.4800     0.996307
  5259.5000     0.997038
  5259.5200     0.995713
  5259.5400     0.994708
  5259.5600     0.994377
  5259.5800     0.995256
  5259.6000     0.991556
  5259.6200     0.994217
  5259.6400     0.992984
  5259.6600     0.992424
  5259.6800     0.994011
  5259.7000     0.995119
  5259.7200     0.995359
  5259.7400     0.993029
  5259.7600     0.992378
  5259.7800     0.993338
  5259.8000     0.991785
  5259.8200     0.991191
  5259.8400     0.997312
  5259.8600     0.991967
  5259.8800     0.985538
  5259.9000     0.992698
  5259.9200     0.992378
  5259.9400     0.993657
  5259.9600     0.991236
  5259.9800     0.989558
  5260.0000     0.986863
  5260.0200     0.983014
  5260.0400     0.976083
  5260.0600     0.969219
  5260.0800     0.963715
  5260.1000     0.951896
  5260.1200     0.939677
  5260.1400     0.928863
  5260.1600     0.919236
  5260.1800     0.910317
  5260.2000     0.901216
  5260.2200     0.893211
  5260.2400     0.887775
  5260.2600     0.883676
  5260.2800     0.880250
  5260.3000     0.876698
  5260.3200     0.876470
  5260.3400     0.875545
  5260.3600     0.876927
  5260.3800     0.877018
  5260.4000     0.880090
  5260.4200     0.882751
  5260.4400     0.887535
  5260.4600     0.892537
  5260.4800     0.899617
  5260.5000     0.907851
  5260.5200     0.914189
  5260.5400     0.924478
  5260.5600     0.936388
  5260.5800     0.944873
  5260.6000     0.955493
  5260.6200     0.966319
  5260.6400     0.975340
  5260.6600     0.983460
  5260.6800     0.985778
  5260.7000     0.986646
  5260.7200     0.987514
  5260.7400     0.992013
  5260.7600     0.992310
  5260.7800     0.990209
  5260.8000     0.990289
  5260.8200     0.988873
  5260.8400     0.988633
  5260.8600     0.991693
  5260.8800     0.992310
  5260.9000     0.991568
  5260.9200     0.992321
  5260.9400     0.992755
  5260.9600     0.992904
  5260.9800     0.993703
  5261.0000     0.995507
  5261.0200     0.993395
  5261.0400     0.992230
  5261.0600     0.994400
  5261.0800     0.996135
  5261.1000     0.994651
  5261.1200     0.998054
  5261.1400     1.001217
  5261.1600     0.999447
  5261.1800     0.999321
  5261.2000     0.998967
  5261.2200     0.997038
  5261.2400     0.991773
  5261.2600     0.993497
  5261.2800     0.995816
  5261.3000     0.996786
  5261.3200     0.995930
  5261.3400     0.994617
  5261.3600     0.992413
  5261.3800     0.993383
  5261.4000     0.992161
  5261.4200     0.991773
  5261.4400     0.990346
  5261.4600     0.988062
  5261.4800     0.986886
  5261.5000     0.986394
  5261.5200     0.987377
  5261.5400     0.986212
  5261.5600     0.986840
  5261.5800     0.987182
  5261.6000     0.987205
  5261.6200     0.986817
  5261.6400     0.987445
  5261.6600     0.987000
  5261.6800     0.989432
  5261.7000     0.988107
  5261.7200     0.988050
  5261.7400     0.990014
  5261.7600     0.990437
  5261.7800     0.990506
  5261.8000     0.992218
  5261.8200     0.994422
  5261.8400     0.993612
  5261.8600     0.996272
  5261.8800     0.993669
  5261.9000     0.990722
  5261.9200     0.991373
  5261.9400     0.989786
  5261.9600     0.987788
  5261.9800     0.987605
  5262.0000     0.984282
  5262.0200     0.983334
  5262.0400     0.982660
  5262.0600     0.981633
  5262.0800     0.979691
  5262.1000     0.977944
  5262.1200     0.978172
